part_no,Part name,slno,section name,total electors,total part votes
134,"PanchayatUnionElementarySchool-UdayampattiAppamasamuthiram-636108,TerracedBuildingFacingNorth",6,"6-Appammasamudhiram(R.V)And(P),Ward3,4,BashakhanSalai 776",895,72
135,"PUMS(Lakshmanasamuthiram)Selliampalayam-636108,,TerracedBuildingFacingSouth,EastWing",1,"1-Appammasamudhiram(R.V)And(P),Ward3,4,PudhuUdayiampattiWest 1",733,89
135,"PUMS(Lakshmanasamuthiram)Selliampalayam-636108,,TerracedBuildingFacingSouth,EastWing",2,"2-Appammasamudhiram(R.V)And(P),Ward3,4,AtturMainRoad 91",733,88
135,"PUMS(Lakshmanasamuthiram)Selliampalayam-636108,,TerracedBuildingFacingSouth,EastWing",3,"3-Appammasamudhiram(R.V)And(P),Ward3,4,SelliampalayamSouth 177",733,178
135,"PUMS(Lakshmanasamuthiram)Selliampalayam-636108,,TerracedBuildingFacingSouth,EastWing",4,"4-Appammasamudhiram(R.V)And(P),Ward3,4,SelliampalayamNorth 358",733,157
135,"PUMS(Lakshmanasamuthiram)Selliampalayam-636108,,TerracedBuildingFacingSouth,EastWing",5,"5-Appammasamudhiram(R.V)And(P),Ward3,4,SelliampalayamWest 514",733,71
135,"PUMS(Lakshmanasamuthiram)Selliampalayam-636108,,TerracedBuildingFacingSouth,EastWing",6,"6-Appammasamudhiram(R.V)And(P),Ward3,4,M.G.R.Nagar 585",733,150
136,"GovernmentAdi-DravidarWelfareHighSchool-Kothampady-636109,SSABuildingFacingEastSouthwing",1,1 Street.South,810,810
137,"GovernmentAdi-DravidarWelfareHighSchool-Kothampady-636109,SSABuildingFacingEastMiddleWingRoomno2",1,1 SouthSt.Colony,853,853
138,"GovernmentAdi-DravidarWelfareHighSchool-Kothampady-636109,SSABuildingFacingEastRoomNo.4",1,"1-JariKothampadi(R.V)AndKothampadi(P),Ward3,PudhuKothampadi 1",1105,612
138,"GovernmentAdi-DravidarWelfareHighSchool-Kothampady-636109,SSABuildingFacingEastRoomNo.4",2,595 Kattukottai,1105,493
139,"PanchayatUnionElementarySchool-Alagapuram-636109,TiledBuildingFacingNorth",1,"1-Alagapuram(R.V)AndKothampadi(P),Ward5,Alagapuram 1",809,482
139,"PanchayatUnionElementarySchool-Alagapuram-636109,TiledBuildingFacingNorth",2,"2-Alagapuram(R.V)AndKothampadi(P),Ward5,Ramanathapuram 456",809,148
139,"PanchayatUnionElementarySchool-Alagapuram-636109,TiledBuildingFacingNorth",3,"3-Alagapuram(R.V)AndKothampadi(P),Ward5,SouthKattukottaigal 595",809,179
140,"PanchayatUnionMiddleSchool-Thennankudipalayam-636108,TerracedBuildingFacingNorthEastWing",1,"1-Thennangudipalayam(R.V)And(P),Ward2,PillaiyarKoilStreet 1",507,150
140,"PanchayatUnionMiddleSchool-Thennankudipalayam-636108,TerracedBuildingFacingNorthEastWing",2,"2-Thennangudipalayam(R.V)And(P),Ward3,Ayyanarpalayam 150",507,21
140,"PanchayatUnionMiddleSchool-Thennankudipalayam-636108,TerracedBuildingFacingNorthEastWing",3,"169 4 4-Thennangudipalayam(R.V)And(P),Ward2,CenterStreet 326 513 177",507,159
140,"PanchayatUnionMiddleSchool-Thennankudipalayam-636108,TerracedBuildingFacingNorthEastWing",4,"4-Thennangudipalayam(R.V)And(P),Ward2,CenterStreet 326",507,177
141,"PanchayatUnionMiddleSchool-Thennengudipalayam-636108,TerracedBuildingFacingEastnorthWing",1,"1-Thennangudipalayam(R.V)And(P),Ward2,Pudhupalayam 1",751,375
141,"PanchayatUnionMiddleSchool-Thennengudipalayam-636108,TerracedBuildingFacingEastnorthWing",2,"2-Thennangudipalayam(R.V)And(P),Ward2,MariammanNagar,NorthKadu 370",751,376
142,"PanchayatUnionMiddleSchool-Thennankudipalayam-636108,TerracedBuildingFacingEastSouthWing",1,"1-Thennangudipalayam(R.V)And(P),Ward3,IndhiraNagarEast 2",838,146
142,"PanchayatUnionMiddleSchool-Thennankudipalayam-636108,TerracedBuildingFacingEastSouthWing",2,"2-Thennangudipalayam(R.V)And(P),Ward3,AmbethkarNagar 144",838,275
142,"PanchayatUnionMiddleSchool-Thennankudipalayam-636108,TerracedBuildingFacingEastSouthWing",3,"3-Thennangudipalayam(R.V)And(P),Ward3,IndhiraNagarWest 415",838,141
142,"PanchayatUnionMiddleSchool-Thennankudipalayam-636108,TerracedBuildingFacingEastSouthWing",4,"4-Thennangudipalayam(R.V)And(P),Ward3,Ayyanarpalayam 554",838,276
143,"PanchayatUnionMiddleSchool-Thennankudipalayam-636108,TerrcedSSAnewBuildingFacingEastNorthWing",1,"1-Thennangudipalayam(R.V)And(P),Ward3,AyyanarpalayamKattukottai 1",586,98
143,"PanchayatUnionMiddleSchool-Thennankudipalayam-636108,TerrcedSSAnewBuildingFacingEastNorthWing",2,"98 3-Thennangudipalayam(R.V)And(P),Ward3,1,ThennangudipalayamEastStreet",586,183
143,"PanchayatUnionMiddleSchool-Thennankudipalayam-636108,TerrcedSSAnewBuildingFacingEastNorthWing",3,"277 4 4-Thennangudipalayam(R.V)And(P),Ward3,1,ThennangudipalayamWest 369 586 211",586,94
143,"PanchayatUnionMiddleSchool-Thennankudipalayam-636108,TerrcedSSAnewBuildingFacingEastNorthWing",4,"4-Thennangudipalayam(R.V)And(P),Ward3,1,ThennangudipalayamWest 369",586,211
144,"IntegratedChildDevelopmentCentre-FortAttur-636141,TiledBuildingFacingSouthEastWing",1,"1-Attur(M),Ward1,KottaiSivankoilStreet 1",616,163
144,"IntegratedChildDevelopmentCentre-FortAttur-636141,TiledBuildingFacingSouthEastWing",2,"2-Attur(M),Ward1,PerumalKoilStreet 164",616,451
144,"IntegratedChildDevelopmentCentre-FortAttur-636141,TiledBuildingFacingSouthEastWing",3,999-OverseasElector 600,616,2
145,"IntegratedChildDevelopmentCentre,Fort,Attur-636141,TiledBuildingFacingSouthMiddleWing",1,"1-Attur(M),Ward2,AmmanNagar 1",428,164
145,"IntegratedChildDevelopmentCentre,Fort,Attur-636141,TiledBuildingFacingSouthMiddleWing",2,"2-Attur(M),Ward1,MuniyappanKoilstreet 158",428,264
146,"IntegratedChildDevelopmentCentre-FortAttur-636141,TiledBuildingFacingSouthWestWing",1,"1-Attur(M),Ward1,KottaiMelaStreet 1",801,176
146,"IntegratedChildDevelopmentCentre-FortAttur-636141,TiledBuildingFacingSouthWestWing",2,"2-Attur(M),Ward1,KottaiCenterStreet 156",801,128
146,"IntegratedChildDevelopmentCentre-FortAttur-636141,TiledBuildingFacingSouthWestWing",3,"3-Attur(M),Ward1,SivankoilStreet 280",801,329
146,"IntegratedChildDevelopmentCentre-FortAttur-636141,TiledBuildingFacingSouthWestWing",4,"4-Attur(M),Ward1,L.R.C.Nagar 601",801,168
147,"MunicipalElementarySchool-VadakkukaduMullaivadi-636141,RCCBuildingFacingSouthWestwing",1,"1-Attur(M),Ward2,NorthKaduUppuOdai 1",728,463
147,"MunicipalElementarySchool-VadakkukaduMullaivadi-636141,RCCBuildingFacingSouthWestwing",2,"2-Attur(M),Ward2,ForestRoadYerikkarai 459",728,265
148,"MunicipalElementarySchool-VadakkukaduMullaivadi-636141,RCCBuildingFacingSouthEastwing",1,"1-Attur(M),Ward2,AvvaiyarMedu,SakthiNagar 1",629,552
148,"MunicipalElementarySchool-VadakkukaduMullaivadi-636141,RCCBuildingFacingSouthEastwing",2,"2-Attur(M),Ward2,Thennangudipalayam 523",629,77
149,"MunicipalElementarySchool-ChandragiriAttur-636141,TerracedBuildingFacingEastNorthWing",1,"1-Attur(M),Ward3,Narayanapuram 1",937,454
